image_path,score,description,task_type,place
dataset/train/0/PXL_20251107_192557855.MP.jpg,0,"The whiteboard was not wiped clean, as extensive blue handwriting remains covering the entire surface.",organize_whiteboard,conference_room
dataset/train/0/PXL_20251107_192557855.MP.jpg,0,"Previous notes and diagrams are still visible, indicating the board was not properly erased after use.",organize_whiteboard,conference_room
dataset/train/0/PXL_20251107_192557855.MP.jpg,0,"Numerous handwritten entries from past sessions have been left uncleaned, making the board unusable for new tasks.",organize_whiteboard,conference_room
dataset/train/0/PXL_20251107_192557855.MP.jpg,0,"The cleaning task for the whiteboard was failed, as all existing information was not removed.",organize_whiteboard,conference_room
dataset/train/0/PXL_20251107_192600830.jpg,0,"The whiteboard was not cleaned, as evidenced by the blue marker writing still visible.",organize_whiteboard,classroom
dataset/train/0/PXL_20251107_192600830.jpg,0,"The whiteboard still contains writing, indicating it has not been cleaned or prepared for new use.",organize_whiteboard,classroom
dataset/train/0/PXL_20251107_192600830.jpg,0,"The presence of old markings on the whiteboard shows that the cleaning task was not completed.",organize_whiteboard,classroom
dataset/train/0/PXL_20251107_192600830.jpg,0,"The whiteboard was not properly cleaned, as previous writings are still clearly visible.",organize_whiteboard,classroom
dataset/train/0/PXL_20251107_212003382.MP.jpg,0,"The whiteboard is covered in extensive blue marker writing, indicating it has not been cleaned.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212003382.MP.jpg,0,"The whiteboard has not been wiped clean, as numerous notes and diagrams are still present.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212003382.MP.jpg,0,"The cleaning task for the whiteboard was not performed, as old writings remain visible.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212003382.MP.jpg,0,"The whiteboard is dirty with old markings, showing a failure in the cleaning process.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212037468.jpg,0,"The whiteboard is covered in blue marker writing, indicating it has not been cleaned.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212037468.jpg,0,"The whiteboard has not been wiped clean, as numerous notes and diagrams are still present.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212037468.jpg,0,"The cleaning task for the whiteboard was not performed, as old writings remain visible.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212037468.jpg,0,"The whiteboard is dirty with old markings, showing a failure in the cleaning process.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212418130.jpg,0,"The whiteboard is covered in blue marker writing, indicating it has not been cleaned.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212418130.jpg,0,"The whiteboard has not been wiped clean, as numerous notes and diagrams are still present.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212418130.jpg,0,"The cleaning task for the whiteboard was not performed, as old writings remain visible.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212418130.jpg,0,"The whiteboard is dirty with old markings, showing a failure in the cleaning process.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212515209.jpg,0,"The whiteboard is covered in blue marker writing, indicating it has not been cleaned.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212515209.jpg,0,"The whiteboard has not been wiped clean, as numerous notes and diagrams are still present.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212515209.jpg,0,"The cleaning task for the whiteboard was not performed, as old writings remain visible.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212515209.jpg,0,"The whiteboard is dirty with old markings, showing a failure in the cleaning process.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212524767.jpg,0,"The whiteboard is covered in blue marker writing, indicating it has not been cleaned.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212524767.jpg,0,"The whiteboard has not been wiped clean, as numerous notes and diagrams are still present.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212524767.jpg,0,"The cleaning task for the whiteboard was not performed, as old writings remain visible.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212524767.jpg,0,"The whiteboard is dirty with old markings, showing a failure in the cleaning process.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212543077.jpg,0,"The whiteboard is covered in blue marker writing, indicating it has not been cleaned.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212543077.jpg,0,"The whiteboard has not been wiped clean, as numerous notes and diagrams are still present.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212543077.jpg,0,"The cleaning task for the whiteboard was not performed, as old writings remain visible.",organize_whiteboard,office
